,Scholarship Name,Eligibility,Region,Deadline,Award,Important Links,Description,Email,Contact Number,Contact Details,link,category
0,IIT Bhubaneswar Post Doctoral Fellowship Programme 2020,PhD degree holders,India,Always Open,"INR 45,000 to INR 55,000 per month plus HRA","{'Apply online link': 'http://webapps.iitbbs.ac.in/pdf-application/pdf-registration.php', 'Latest scholarship link': 'http://webapps.iitbbs.ac.in/pdf-application/index.php', 'Others': 'http://webapps.iitbbs.ac.in/pdf-application/pdf-usefull-info-01.pdf'}","The Indian Institute of Technology, Bhubaneswar is inviting applications for IIT Bhubaneswar Post Doctoral Fellowship Programme 2020 from PhD degree holders below 35 years of age. The fellows will be required to participate in the teaching and research activities of the Institute including mentoring young undergraduates and post-graduate students. The selected fellows will receive a fellowship of  INR 45,000 to INR 55,000 per month plus HRA (depending upon the experience and qualification).",ar.acad@iitbbs.ac.in,0674-7134578,"Assistant Registrar (Academic Affairs)
Indian Institute of Technology Bhubaneswar
Argul, Khordha-752050, ODISHA
E-mail id – ar.acad@iitbbs.ac.in
Contact No. – 0674-7134578",http://webapps.iitbbs.ac.in/pdf-application/index.php,mixed
1,The UGC-BSR Faculty Fellowship 2020,Teachers in Science and Technology,India,Always Open,"INR 50,000 per month and a research grant of INR 5 lakh per annum","{'Original website': 'http://ugcfrps.ac.in/uohyd/', 'Latest scholarship link': 'https://www.ugc.ac.in/pdfnews/4188867_BSR-Faculty-Fellowship-revised-guidelines.pdf', 'Apply online link': 'http://ugcfrps.ac.in/uohyd/the-ugc-bsr-faculty-fellowship/'}","University Grants Commission Basic Scientific Research (UGC-BSR) invites applications for The UGC-BSR Faculty Fellowship 2020 from talented teachers in Science and Technology who are at the verge of superannuation to continue their productive research for an additional period of three years after superannuation. The selected candidates will receive INR 50,000 per month and a research grant of INR 5,00,000 per annum (on yearly basis).",nc.ugcfrps@uohyd.ac.in,Null,"National Coordinator
Faculty Research Promotion Schemes
School of Chemistry
University of Hyderabad
Hyderabad - 500046.
Email: nc.ugcfrps@uohyd.ac.in",https://www.ugc.ac.in/pdfnews/4188867_BSR-Faculty-Fellowship-revised-guidelines.pdf,mixed
2,ILBS-TATA Fellowship 2020,"Eminent clinicians, basic scientists and young researchers",India,Always Open,Monthly remuneration and other benefits,"{'Original website': 'https://www.ilbs.in/', 'Apply online link': 'https://www.ilbs.in/?page=content&itemid=401'}",The Insitute of Liver and Biliary Sciences (ILBS) with the funding from Tata Education and Development Trust is offeringILBS-TATA Fellowship 2020 to eminent clinicians and basic scientists from around the world as well as young researchers working in the field of regenerative medicine. The fellowship offers two senior and three junior positions for a duration of 3-12 months. The fellowship recipients can avail monthly remuneration and other benefits.,tatafellowship@ilbs.in,Null,"Email: tatafellowship@ilbs.in
Phone no - 46300000",https://www.ilbs.in/,mixed
3,IIT Kharagpur Post Doctoral Fellowships 2020,PhD degree holders,India,Always Open,Variable awards,"{'Apply online link': 'https://erp.iitkgp.ac.in/PDFApplications/Login.jsp', 'Latest scholarship link': 'http://www.iitkgp.ac.in/academics-post-doc-fellowships'}","Indian Institute of Technology Kharagpur invites applications for IIT Kharagpur Post Doctoral Fellowships 2020 from PhD degree holders. The fellowship is being offered with a view to providing an opportunity for competent researchers to do independent research work in an advanced area of science and technology. The selected fellows will receive a monthly fellowship and a contingency grant of INR 25,000 per annum.",asregpgr@adm.iitkgp.ac.in,+91-3222-255221,"ASSISTANT REGISTRAR (PGS&R)
Indian Institute of Technology, Kharagpur
Kharagpur - 721302
West Bengal
Email :
asregpgr@adm.iitkgp.ac.in
Phone: +91-3222-255221",http://www.iitkgp.ac.in/academics-post-doc-fellowships,other
4,IIT Bombay Institute Post-Doctoral Fellowship 2020,PhD degree holders and research scholars,India,Always Open,"Up to INR 71,000 per month and other benefits","{'Others': 'http://www.iitb.ac.in/sites/default/files/Rolling%20Advt%20D-26%20faculty%20Recruitment.pdf', 'Latest scholarship link': 'http://www.iitb.ac.in/en/careers/institute-post-doctoral-fellows', 'Original website': 'http://www.iitb.ac.in/en', 'Apply online link': 'http://www.iitb.ac.in/en/careers/application-forms-faculty-positions-and-post-docs'}","Indian Institute of Technology, Bombay invites applications for Institute Post-Doctoral Fellowship 2020 from PhD degree holders and research scholars. The fellowships are available in various academic departments, centres, schools and inter-disciplinary programs. The fellows selected for the position can avail a monthly stipend of up toINR 71,000 per month.",dean.fa@iitb.ac.in,Null,"IIT Bombay, Powai, Mumbai 400076
Maharashtra, India
Phone: +91 (22) 2576 7009
Fax:+91 (22) 2572 3546
Email:
dean.fa@iitb.ac.in
,
dean.fa.office@iitb.ac.in",http://www.iitb.ac.in/en/careers/institute-post-doctoral-fellows,mixed
5,Institute for Social and Economic Change SRTT Visiting Fellowship 2020,Research scholars,India,Always Open,Variable awards,"{'Latest scholarship link': 'http://www.isec.ac.in/srtt-fellowships.htm', 'Apply online link': 'http://www.isec.ac.in/SRTT-application-2010.pdf', 'Original website': 'http://www.isec.ac.in/isec1.htm'}","Institute for Social and Economic Change, Bangalore in association with Sir Ratan Tata Trustinvites applications for SRTT Visiting Fellowship 2020 from research scholars. Proposals will be accepted from scholars who wish to undertake research studies at the Institute for a period not exceeding 3 months, in the field of social sciences. The Institute will try to protect their actual salary and reimburse their travel costs twice from their place of residence to Bangalore and back.",registrar@isec.ac.in,Null,"Institute for Social and Economic Change
Dr. VKRV Rao Road
Nagarabhavi
Bangalore 560072
Mail -
registrar@isec.ac.in
.",http://www.isec.ac.in/srtt-fellowships.htm,other
6,Indian Council of Medical Research Emeritius Scientist Scheme 2020,Scientists,India,Always Open,"INR 60,000 per month and other benefits","{'Apply online link': 'https://main.icmr.nic.in/sites/default/files/upload_documents/EMS_Application_Form.pdf', 'Original website': 'https://main.icmr.nic.in/', 'Latest scholarship link': 'https://main.icmr.nic.in/content/icmr-emeritus-scientist'}","Indian Council of Medical Research (ICMR) invites applications forIndian Council of Medical Research Emeritus Scientist Scheme 2020 from scientists who have retired or about to retire. The selected scientists will receive an honorarium of INR 60,000 in addition to pension/provident fund, and a contingency grant of up to INR 1,00,000 per annum.",icmrhqds@sansad.nic.in,011 2658 8895,"Indian Council of Medical Research (ICMR)
V. Ramalingaswami Bhawan,
Ansari Nagar, New Delhi, Delhi 110029
Phone: 011 2658 8895
Email: icmrhqds@sansad.nic.in",https://main.icmr.nic.in/content/icmr-emeritus-scientist,mixed
7,Tel Aviv University Postdoctoral Fellowship 2019-20,Ph.D and Post-Doctoral scholars,Israel,Always Open,"USD 8,500 per annum and other benefits","{'Original website': 'https://international.tau.ac.il/Doctoral_Programs', 'Apply online link': 'http://bit.ly/2SQa1RC'}","Tel Aviv University is providing an opportunity to master's students from across the world to become a part of a multi-diverse research community while availing scholarship benefits, at its international campus in Israel. The Doctoral and Post-Doctoral programs at the Tel Aviv University provide students with a chance to attain their international research degree in English language and join the next generation of academic researchers and teachers. Along with a unique cultural, financial and technological exposure, the university is offering reduced tuition fee or financial assistance for international students. Indian students can avail the TATA TRUSTS -TAU Scholarship to get these benefits.",gilah@tauex.tau.ac.il,+972-3-6404543,"Gila Holtzman
Tel Aviv University, Israel
Phone: +972-3-6404543
​Email: gilah@tauex.tau.ac.il / tauasia@tauex.tau.ac.il",https://international.tau.ac.il/Doctoral_Programs,mixed
8,IIT Delhi Post Doctoral Fellowships 2020,PhD degree holders,India,Always Open,"INR 60,000 per month","{'Original website': 'http://www.iitd.ac.in/', 'Latest scholarship link': 'https://home.iitd.ac.in/jobs-iitd/index.php', 'Apply online link': 'https://home.iitd.ac.in/uploads/advt-PDF-2018.pdf'}","Indian Institute of Technology Delhi invites applications for IIT Delhi Post Doctoral Fellowships 2020 from PhD degree holders. The fellowship is meant for Indian Nationals, Persons of Indian Origin (PIOs) and Overseas Citizens of India (OCIs) in the various Departments/Centres/Schools. The selected fellows will receive a consolidated fellowship ofINR 50,000 per month.",ar_e1@admin.iitd.ac.in,+91-11-26591716,"Assistant Registrar (E-I) IIT Delhi,
Hauz Khas,
New Delhi-110016 (INDIA)
Telephone: +91-11-26591716
Fax: +91-11-26597216
E-mail: ar_e1@admin.iitd.ac.in",https://home.iitd.ac.in/jobs-iitd/index.php,monetary
9,UGC Research Fellowship in Science 2020,Sciences for meritorious students,India,Always Open,"INR 8,000 per month and contingency grant of INR 6,000 pa","{'Original website': 'https://www.ugc.ac.in/', 'Apply online link': 'https://www.ugc.ac.in/oldpdf/xiplanpdf/meritorious%20students.pdf'}","University Grants Commission (UGC) invites applications for UGC Research Fellowship in Science 2020 from students registered in PhD in Science subjects at universities with Potential for Excellence/Centres with Potential for Excellence/Centres of Advance Studies and Department of Special Assistance identified by UGC. Selected fellows will receive a fellowship amount of INR 8,000 per month and a contingency grant of INR 6,000 per annum.",Null,0120-6895200,"Bahadur Shah Zafar Marg
ITO Metro Gate Number 3
Road, New Delhi, Delhi 110002
Phone: 0120-6895200",https://www.ugc.ac.in/,mixed
