,Scholarship Name,Eligibility,Region,Deadline,Award,Important Links,Description,Email,Contact Number,Contact Details,link,category
0,Vice-Chancellor’s Excellence Postgraduate Scholarship 2025-26,Students pursuing selected master’s program,United Kingdom,29-May-2025,Up to 50% off of tuition fees,"{'Apply online link': 'https://www.ncl.ac.uk/postgraduate/fees-funding/search-funding/?code=vces25', 'Original website': 'https://www.ncl.ac.uk/'}",Vice-Chancellor’s Excellence Postgraduate Scholarship 2025-26 is an opportunity provided by Newcastle University to students pursuing selected master’s degree programs at the university. The scholarship aims to financially assist outstanding students in completing their studies. The selected candidates will receive up to 50% waiver on tuition fees.Source:Newcastle University,scholarship.applications@ncl.ac.uk,+44 191 208 8107,"Newcastle University
Newcastle upon Tyne
NE1 7RU
Email ID:
scholarship.applications@ncl.ac.uk
| Phone Number:
+44 191 208 8107/5537",https://www.ncl.ac.uk/,monetary
1,Sasakawa India Leprosy Foundation Nursing Scholarship 2025-26,Students residing in self-settled leprosy colonies & pursuing nursing studies in India,India,30-May-2025,A  financial support for course,"{'Others': 'https://silf.in/', 'Media Link': 'https://www.buddy4study.com/scholarship/nursing-scholarship-for-girls-sasakawa-india-leprosy-foundation', 'Apply online link': 'http://scholarship.silf.in/'}",Sasakawa India Leprosy Foundation Nursing Scholarship 2025-26 is an opportunity provided by the Sasakawa-India Leprosy Foundation (S-ILF) for B.Sc. Nursing (Basic) & GNM students residing in self-settled leprosy colonies. The selected students will receive financial support for education.Source:S-ILF Scholarships,workingmagic@silf.in,9990503759,"Sasakawa India Leprosy Foundation
2nd Floor, IETE Building,
2, Institutional Area,
Lodhi Road
New Delhi-110003
Email ID:
workingmagic@silf.in
|
Phone Number:
(+91 11)-2460 3439
For further queries, contact:
Ms. Charu Gaba:
9990503759 |
Mr. Tanzeel Khan:
9891572290",http://scholarship.silf.in/,other
2,"Nirman Shramik Kalyan Yojana Scholarship for ST/SC/OBC/SEBC/GENERAL/EBC Communities, Odisha 2024-25",Students studying in Class 6 and above,India,30-May-2025,"An annual financial assistance of up to ₹40,000","{'Latest scholarship link': 'https://scholarship.odisha.gov.in/website/home', 'Apply online link': 'https://scholarship.odisha.gov.in'}","Nirman Shramik Kalyan Yojana Scholarship for ST/SC/OBC/SEBC/GENERAL/EBC Communities, Odisha 2024-25 is an opportunity offered by the Labour & ESI Department, Government of Odisha to General, ST, SC, OBC, SEBC, and EBC category students studying in Class 6 and above level. The objective of this scheme is to provide financial support to the wards of construction workers for their studies. The selected students will receive educational assistance up to ₹40,000 per annum.Source:State Scholarship Portal - Government Of Odisha",labsec.or@nic.in,674-2536770,"Labour & ESI Department, Government of Odisha
5th Floor, Kharavel Bhawan,
Bhubaneswar-751001, Odisha
Email ID:
labsec.or@nic.in, labsec.or@gmail.com |
Phone Number:
(91)-674-2536770",https://scholarship.odisha.gov.in/website/home,monetary
3,D. K. Bhave Scholarship 2025,Graduates from Engineering Faculty/Final year Engineering students (B.E./B.Tech) at Savitribai Phule Pune University,Abroad,30-May-2025,A maximum 50% of a one-year Engineering Master's program,"{'Original website': 'http://www.unipune.ac.in/', 'Latest scholarship link': 'https://app1.unipune.ac.in/dkbhave/faq.htm', 'Apply online link': 'https://app1.unipune.ac.in/dkbhave/default.htm'}","D. K. Bhave Scholarship 2025 is an opportunity offered by the Savitribai Phule Pune Universityfor engineering graduates who have secured ""Confirmed Admission"" for a master's degree in Engineering and Technology in any foreign accredited university from the USA/Canada/Germany/England. This scholarship is intended to supplement, not replace, a student's funding. It covers a maximum of 50% of the total estimated first-year cost for a Master's degree program in Engineering. This cost includes tuition, books, room and board, and incidental expenses, as determined by the admitting university, minus any financial aid awarded by the university.Source:Savitribai Phule Pune University",dkbhave@pun.unipune.ac.in,Null,"Savitribai Phule Pune University, Ganeshkhind
Ganeshkhind Rd, Ganeshkhind,
Pune, Maharashtra - 411007
Email ID:
dkbhave@pun.unipune.ac.in",https://app1.unipune.ac.in/dkbhave/faq.htm,other
4,H.H Dalai Lama-Sasakawa Scholarship 2025-26,Resident in one of the self-settled leprosy colonies,India,30-May-2025,"Tuition fees, admission fee, mess fee and boarding/hostel expenses","{'Apply online link': 'http://scholarship.silf.in/', 'Media Link': 'https://www.buddy4study.com/scholarship/h-h-dalai-lama-sasakawa-scholarship', 'Original website': 'https://silf.in/'}","H.H Dalai Lama-Sasakawa Scholarship 2025-26 is an opportunity offered by the Sasakawa India Leprosy Foundation (SILF) to provide financial support to students residing in self-settled leprosy colonies in Bihar, Chhattisgarh, Delhi, Jharkhand, Madhya Pradesh, Odisha, Uttar Pradesh, West Bengal, Telangana and Andhra Pradesh. The selected students who are willing to pursue professional courses in recognised institutions will receive rewards in the form of tuition fees, admission fees, mess fees and boarding/ hostel expenses.Source:Sasakawa-India Leprosy Foundation (S-ILF)",Null,Null,"Sasakawa India Leprosy Foundation
2nd Floor, IETE Building
2, Institutional Area
Lodhi Road, New Delhi - 110003
Phone Number:
(011) 24603439/40",https://silf.in/,mixed
5,Numerix Women In Finance Scholarship 2025,Full-time female students enrolled in Masters or PhD in Finance,Abroad,30-May-2025,"A scholarship of up to $20,000(approx. ₹17 lakhs)","{'Apply online link': 'https://www.numerix.com/women-in-finance-scholarship', 'Latest scholarship link': 'https://www.numerix.com/women-in-finance-scholarship', 'Media Link': 'https://www.buddy4study.com/scholarship/numerix-women-in-finance-scholarship-2025', 'Original website': 'https://www.numerix.com/who-we-are'}","The Numerix Women In Finance Scholarship 2025 is an opportunity provided by Numerix LLC to full-time female students enrolled in Masters or PhD in Finance. This scholarship aims to support the higher education of talented women in the field of finance. The selected candidates will receive a scholarship of up to $20,000(approx. ₹17 lakhs).Source: numerix.com",Null,Null,"Numerix LLC
100 Park Avenue, 15th FL
New York, NY 10017
United States
Phone no.
+1.212.302.2220 l
Fax:
+1.212.302.6934",https://www.numerix.com/women-in-finance-scholarship,monetary
6,The Bristol Master's Scholarship 2025,Postgraduate applicants,United Kingdom,30-May-2025,"An annual scholarship of £2,000 (approx. ₹1,91,000)","{'Apply online link': 'https://www.bristol.ac.uk/students/support/finances/scholarships/bristol-masters-scholarship/', 'Others': 'https://www.bristol.ac.uk/students/support/finances/scholarships/bristol-masters-scholarship/terms/', 'Latest scholarship link': 'https://www.bristol.ac.uk/students/support/finances/scholarships/bristol-masters-scholarship/', 'Media Link': 'https://www.buddy4study.com/scholarship/the-bristol-masters-scholarship', 'Original website': 'https://www.bristol.ac.uk/'}","The Bristol Master's Scholarship 2025 is an opportunity provided by the University of Bristol to students who have applied for postgraduate study at the University of Bristol. This scholarship financially aids the higher education of students at the University of Bristol. The selected candidates will receive an annual scholarship of £2,000 (approx. ₹1,91,000).Source:University of Bristol",scholarships-bursaries@bristol.ac.uk,117 928 9000,"University of Bristol,
Beacon House,
Queens Road,
Bristol, BS8 1QU, UK
Email ID:
scholarships-bursaries@bristol.ac.uk
l Phone Number:
+44 (0)117 928 9000",https://www.bristol.ac.uk/students/support/finances/scholarships/bristol-masters-scholarship/,monetary
7,VAIBHAV Fellowship 2025,Ph.D./M.D./M.S./M.Tech degree holders,India,30-May-2025,"Up to ₹4,00,000 per month and other benefits","{'Apply online link': 'https://onlinedst.gov.in/Projectproposalformat.aspx?Id=2317', 'Media Link': 'https://www.buddy4study.com/scholarship/vaibhav-fellowship', 'Original website': 'https://onlinedst.gov.in/'}","VAIBHAV Fellowship 2025 is an initiative started by the Department of Science and Technology (DST), Ministry of Science and Technology, Government of India. The aim of this fellowship is to connect Indian overseas scientists to universities, colleges, and government-funded research places in India and collaborate on ongoing research projects. Selected fellows will receive a fellowship amount of up to ₹4,00,000 per month and other benefits.Source:Department of Science and Technology",vaibhav-india@gov.in,Null,"VAIBHAV Cell
International Cooperation Division
Technology Bhawan
New Delhi-110016
Email ID:
vaibhav-india@gov.in",https://onlinedst.gov.in/,mixed
8,"Vocational Training Fee Reimbursement for OBC, SEBC, VJNT & SBC Students, Maharashtra 2024-25","Students belonging to OBC, SEBC, VJNT, and SBC categories who are pursuing vocational training courses",India,31-May-2025,80% course fees for SSC students,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AFFD85CFC9534EEE5', 'Original website': 'https://mahadbtmahait.gov.in/Home/Index', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/86.pdf'}","Vocational Training Fee Reimbursement for OBC, SEBC, VJNT & SBC Students, Maharashtra 2024-25 is an opportunity offered by the OBC, SEBC, VJNT & SBC Welfare Department, Government of Maharashtra to minority category students of the state. Selected candidates will receive 80% of their course fees.Source:Aaple Sarkar DBT Portal",Null,1800 120 8040,"OBC, SEBC, VJNT & SBC Welfare Department, Government of Maharashtra
Helpline Number:
(022)-49150800 |
Chief Minister Helpline(24x7 Toll-free Number:
1800 120 8040",https://mahadbt.maharashtra.gov.in/PDF/86.pdf,tuition_waiver
9,University of Plymouth GREAT Scholarship 2025-26,Postgraduate applicants,United Kingdom,31-May-2025,"£10,000 towards tuition fees","{'Latest scholarship link': 'https://www.plymouth.ac.uk/study/funding/scholarships/great-scholarships', 'Original website': 'https://www.plymouth.ac.uk/', 'Apply online link': 'https://www.plymouth.ac.uk/study/fees/scholarships-bursaries-and-funding/international-students/postgraduate-scholarships-for-international-students'}","University of Plymouth GREAT Scholarships 2025 is a combined initiative of by the University of Plymouth with the UK government’s GREAT Britain Campaign and the British Council for postgraduate applicants. This scholarship scheme is for students from India and Singaporecommencing studies in 2025-26. The selected scholar will receive each scholarship worth £10,000 towards the tuition fees.Source:University of Plymouth",Null,1752 600600,"University of Plymouth
Devon PL4 8AA, United Kingdom
Phone Number:
(+44) 1752 600600",https://www.plymouth.ac.uk/study/funding/scholarships/great-scholarships,tuition_waiver
