,Scholarship Name,Eligibility,Region,Deadline,Award,Important Links,Description,Email,Contact Number,Contact Details,link,category
0,CoEM Agar Art Competition 2024,"Microbiology enthusiasts, students and researchers",India,Closed,Cash prizes and certificates,"{'Original website': 'http://kscste.kerala.gov.in/', 'Apply online link': 'http://kscste.kerala.gov.in/wp-content/uploads/2024/05/CoEM_AgarArtcompetition_may24.pdf'}","CoEM Agar Art Competition 2024 is an opportunity offered by the Centre of Excellence in Microbiome (CoEM) in association with the Kerala State Council for Science, Technology and Environment (KSCSTE) to microbiology students, researchers, and enthusiasts. This art competition aims to raise public awareness of the microbial world and ignite the artistic talents of students and researchers passionate about microbiology. The winners will be awarded with cash prizes and certificates.Source:Kerala State Council for Science Technology and Environment (KSCSTE)",coemkscste@gmail.com,+91-471-2548200,"Kerala State Council for Science, Technology and Environment (KSCSTE)
Government of Kerala
Sasthra Bhavan, Pattom, Thiruvananthapuram
Kerala 695004
Email ID:
coemkscste@gmail.com |
Phone Number:
+91-471-2548200",http://kscste.kerala.gov.in/,mixed
1,The Doon School Scholarship Examination (DSSE) 2024,Male students promoted to Class 7 or 8,India,Closed,A chance to study at the Doon School along with financial assistance determined by the Scholarship committee,"{'Original website': 'https://www.doonschool.com/', 'Apply online link': 'https://www.doonschool.com/dsse/'}",The Doon School Scholarship Examination (DSSE) is an annual entrance exam conducted by The Doon School (an all-boys boarding school in Dehradun). The scholarship exam is open to male students entering Class 7 or Class 8 whose families might struggle to pay the school fees.Selected meritorious male candidates will stand a chance to study at The Doon School on a scholarship. The Scholarship Committee will determine the amount of financial aid based on the documents provided by the parents' of the applicants'.Source:The Doon School,admissions@doonschool.com,Null,"The Doon School Scholarship
Mall Road, Dehradun,
Uttarakhand
Email ID:
admissions@doonschool.com |
Helpline Number:
(0135)-2526400",https://www.doonschool.com/,monetary
2,Nirankari Rajmata Scholarship Scheme 2024-25,Graduates and Postgraduates in professional and technical courses,India,Closed,"Tuition fees up to ₹75,000 per annum","{'Apply online link': 'https://nirankarifoundation.org/wp-content/uploads/2024/06/Nirankari-Rajmata-Scholarship-Scheme-2024-25.pdf', 'Original website': 'https://nirankarifoundation.org'}","Nirankari Rajmata Scholarship Scheme 2024-25 is an opportunity offered by the Sant Nirankari Charitable Foundation to students pursuing technical or professional courses at the undergraduate or postgraduate levels. The aim of this scholarship is to provide financial assistance to needy and meritorious students. Selected candidates will receive a full tuition fee waiver of up to ₹75,000 per annum.Source:Sant Nirankari Charitable Foundation",sncf@nirankarifoundation.org,Null,"Education Department,
Sant Nirankari Charitable Foundation,
80-A, Avtar Marg,
Sant Nirankari Colony, Delhi - 110009
Email ID:
sncf@nirankarifoundation.org
|
Phone Number:
(+91 11) 47660380/47660200",https://nirankarifoundation.org,monetary
3,University of Exeter India Global Leaders Scholarship 2024-25,Indian students enrolled for master’s programme at the University of Exeter,United Kingdom,Closed,"£3,000 as tuition fee reduction","{'Original website': 'https://www.exeter.ac.uk/india-1/?mrasn=733693.911533.UzlgE6QK', 'Apply online link': 'https://www.exeter.ac.uk/study/funding/award/?id=5063'}","University of Exeter India Global Leaders Scholarship 2024-25 is an opportunity offered by the University of Exeter to Indian citizens who are enrolled in a campus-based master's programme at the university. The main objective of this scholarship program is to ensure diversity in the academic and cultural profile by including students from India which will help enrich and contribute to every aspect of their master's programme. Selected candidates will receive a tuition fee reduction of worth £3,000 (approximately ₹3,14,21.41).Source:University of Exeter",india@exeter.ac.uk,1392 723044,"University of Exeter
Mail Room, The Old Library
Prince of Wales Road
Exeter, Devon UK, EX4 4SB
Email ID
:
india@exeter.ac.uk
| Phone Number:
(44 0) 1392 723044",https://www.exeter.ac.uk/india-1/?mrasn=733693.911533.UzlgE6QK,tuition_waiver
4,SOF Girl Child Scholarship Scheme (G.C.S.S) 2024-25,Female students of Class 1 to 10,India,Closed,"₹5,000 per annum (one-time)","{'Apply online link': 'http://www.sofworld.org/girl-child-scholarship-scheme-gcss', 'Others': 'https://sofworld.org/'}","SOF Girl Child Scholarship Scheme (G.C.S.S) 2024-25 is an opportunity provided by the Science Olympiad Foundation (SOF)* for female students studying in Class 1 to 10. The scholarship aims to provide financial assistance to students from economically disadvantaged families so they can continue their school education. A total of 300 female students will be awarded a one-time scholarship of ₹5,000 each.*SOF is an educational organisation established to promote Science, Mathematics, Computer Education, English, Social Studies, General Knowledge and professional courses.Source:Science Olympiad Foundation (SOF)",info@sofworld.org,Null,"Science Olympiad Foundation
Plot no. 99, 1st Floor, Sector - 44,
Gurugram - 122003
Email ID:
info@sofworld.org
| Phone Number:
(0124) 4951200",http://www.sofworld.org/girl-child-scholarship-scheme-gcss,monetary
5,SOF National Science Olympiad (NSO) 2024-25,Class 1 to 12 students,India,Closed,"Up to ₹50,000 and other benefits","{'Latest scholarship link': 'https://sofworld.org/nso/about-sof-national-science-olympiad-nso-exam', 'Apply online link': 'https://sofworld.org/nso/about-nso-exam/how-to-participate'}","SOF National Science Olympiad (NSO) 2024-25 is an opportunity provided by the Science Olympiad Foundation (SOF)*for students of Class 1 to 12. The Olympiad is being organised to give students a platform to showcase their talent and knowledge of science at the national level. The selected students stand a chance to receive up to ₹50,000 and other benefits.*SOF is an educational organisation established to promote Science, Mathematics, Computer Education, English, Social Studies, General Knowledge and professional courses.Source:Science Olympiad Foundation (SOF)",info@sofworld.org,9312680855,"Science Olympiad Foundation
1st Floor, Plot no. 99, Sector - 44,
Gurgaon (Haryana) - 122003
Email Id:
info@sofworld.org
| Phone number:
9312680855, 9312680857",https://sofworld.org/nso/about-nso-exam/how-to-participate,mixed
6,SOF International Computer Science Olympiad (ICSO) 2024-25,Class 1 to 10 students,India,Closed,"Up to ₹50,000 and other benefits","{'Latest scholarship link': 'https://sofworld.org/icso/about-sof-international-computer-science-olympiad-icso-exam', 'Apply online link': 'https://sofworld.org/icso/about-icso-exam/how-to-participate'}","SOF International Computer Science Olympiad (ICSO) 2024-25 is an opportunity provided by the Science Olympiad Foundation (SOF)* for students of Class 1 to 10. This olympiad aims to provide students with a platform to showcase their computational thinking and problem-solving skills at the national level. The selected students will stand a chance to receive up to ₹50,000 and other benefits.*SOF is an educational organization that was established to promote Science, Mathematics, Computer Education, English, Social Studies, General Knowledge and professional courses.Source:Science Olympiad Foundation (SOF)",info@sofworld.org,9312680855,"Science Olympiad Foundation
1st Floor, Plot no. 99, Sector - 44,
Gurgaon (Haryana) - 122003
Email Id:
info@sofworld.org
| Phone number:
9312680855, 9312680857",https://sofworld.org/icso/about-icso-exam/how-to-participate,mixed
7,SOF-International General Knowledge Olympiad (IGKO) 2024-25,Class 1 to 10 students,India,Closed,"Up to ₹50,000 and other benefits","{'Latest scholarship link': 'https://sofworld.org/igko/about-sof-international-general-knowledge-olympiad-igko-exam', 'Original website': 'https://www.sofworld.org/', 'Apply online link': 'https://sofworld.org/igko/about-igko-exam/how-to-participate'}","SOF-International General Knowledge Olympiad (IGKO) 2024-25 is an opportunity provided by the Science Olympiad Foundation (SOF)*for Class 1 to 10 students. It is a single-level exam that will be judged at four different levels - school level, city level, zonal level, and international level. The selected students stand a chance to receive up to ₹50,000, medals, and certificates.*Science Olympiad Foundation (SOF) is an educational organisation that was established to promote Science, Mathematics, Computer Education, English, Social Studies, General Knowledge and professional courses.Sources:Science Olympiad Foundation(SOF)",info@sofworld.org,9312680855,"Science Olympiad Foundation
Plot no. 99, 1st Floor, Sector - 44,
Gurugram - 122003
Email ID:
info@sofworld.org
| Phone Number:
(+124) 4951200, (+91) 9312680855",https://www.sofworld.org/,mixed
8,SOF International Social Studies Olympiad (ISSO) 2024-25,Class 3 and 10 students,India,Closed,"Up to ₹50,000 and other benefits","{'Original website': 'https://sofworld.org/', 'Apply online link': 'https://sofworld.org/isso/about-isso-exam/how-participate', 'Latest scholarship link': 'https://sofworld.org/isso/about-sof-international-social-studies-olympiad-isso-exam'}","SOF International Social Studies Olympiad (ISSO) 2024-25 is a single-level exam offered by the Science Olympiad Foundation (SOF) for students in grades 3-10. It recognizes and rewards excellence in Social Studies. The selected students stand to a chance to receive up to ₹50,000 and other benefits.*SOF is an educational organization that was established to promote Science, Mathematics, Computer Education, English, Social Studies, General Knowledge and professional courses.Source:Science Olympiad Foundation(SOF)",info@sofworld.org,9312680855,"Science Olympiad Foundation
Plot no. 99, 1st Floor, Sector - 44,
Gurugram - 122003
Email ID:
info@sofworld.org
| Phone Number:
(+124) 4951200, (+91) 9312680855",https://sofworld.org/,mixed
9,SOF International English Olympiad (IEO) 2024-25,Class 1 to 12 students,India,Closed,"Up to ₹50,000 and other benefits","{'Original website': 'http://www.sofworld.org/ieo', 'Apply online link': 'https://sofworld.org/ieo/about-ieo-exam'}","SOF International English Olympiad (IEO) 2024-25 is an opportunity offered by the Science Olympiad Foundation (SOF)*toClass 1 to 12 students. It is a single-level exam for students who want to showcase their talent at the national level. The selected students stand a chance to receive up to ₹50,000 and other benefits.*Science Olympiad Foundation (SOF) is an educational organisation that was established to promote Science, Mathematics, Computer Education, English, Social Studies, General Knowledge and professional courses.Source:Science Olympiad Foundation(SOF)",info@sofworld.org,9312680855,"Science Olympiad Foundation
Plot no. 99, 1st Floor, Sector - 44,
Gurugram - 122003
Email ID:
info@sofworld.org
| Phone Number:
(+124) 4951200, (+91) 9312680855",http://www.sofworld.org/ieo,mixed
